iter	Passed	Remaining
0	60	59941
1	60	30151
2	60	20198
3	61	15227
4	61	12248
5	61	10251
6	62	8823
7	62	7751
8	62	6918
9	63	6250
10	63	5705
11	63	5253
12	64	4868
13	64	4537
14	64	4251
15	65	4001
16	65	3782
17	65	3586
18	66	3411
19	66	3254
20	66	3113
21	67	2983
22	67	2863
23	67	2755
24	68	2655
25	68	2564
26	68	2480
27	69	2400
28	69	2325
29	69	2259
30	70	2194
31	70	2134
32	70	2077
33	71	2024
34	71	1973
35	71	1927
36	72	1883
37	72	1840
38	73	1800
39	73	1761
40	73	1727
41	74	1692
42	74	1658
43	75	1635
44	75	1603
45	75	1574
46	76	1545
47	76	1518
48	77	1494
49	77	1470
50	77	1445
51	78	1422
52	78	1400
53	78	1378
54	78	1357
55	79	1336
56	79	1316
57	79	1297
58	80	1279
59	80	1261
60	80	1244
61	81	1228
62	81	1211
63	81	1195
64	82	1180
65	82	1164
66	82	1151
67	82	1134
68	83	1120
69	83	1107
70	83	1094
71	83	1082
72	84	1069
73	84	1059
74	84	1047
75	85	1036
76	85	1025
77	85	1014
78	86	1004
79	86	994
80	86	984
81	87	975
82	87	965
83	87	956
84	87	946
85	88	938
86	88	928
87	88	920
88	89	912
89	89	905
90	89	897
91	90	889
92	90	881
93	90	874
94	91	867
95	91	860
96	91	854
97	92	847
98	92	841
99	92	834
100	93	828
101	93	820
102	93	814
103	93	808
104	94	801
105	94	795
106	94	789
107	94	783
108	95	778
109	95	772
110	95	767
111	96	761
112	96	756
113	96	751
114	96	745
115	97	739
116	97	734
117	97	729
118	97	723
119	98	718
120	98	713
121	98	709
122	98	703
123	98	698
124	99	693
125	99	689
126	99	684
127	99	679
128	100	675
129	100	671
130	100	667
131	100	663
132	101	658
133	101	655
134	101	651
135	102	648
136	102	644
137	102	640
138	102	636
139	103	633
140	103	629
141	103	626
142	103	622
143	104	619
144	104	615
145	104	612
146	105	609
147	105	606
148	105	603
149	106	601
150	106	597
151	106	595
152	106	591
153	107	589
154	107	586
155	107	583
156	108	580
157	108	577
158	108	574
159	108	571
160	109	569
161	109	566
162	109	563
163	110	561
164	110	559
165	110	556
166	111	553
167	111	551
168	111	548
169	111	546
170	112	543
171	112	541
172	112	538
173	112	536
174	113	534
175	113	532
176	114	530
177	114	528
178	114	526
179	115	524
180	115	520
181	115	518
182	115	516
183	115	514
184	116	511
185	116	509
186	116	507
187	117	505
188	117	503
189	117	501
190	118	499
191	118	497
192	118	495
193	118	493
194	119	491
195	119	489
196	119	487
197	119	485
198	120	483
199	120	482
200	121	481
201	121	479
202	121	477
203	121	475
204	122	473
205	122	472
206	122	470
207	123	468
208	123	466
209	123	464
210	123	463
211	124	461
212	124	459
213	124	458
214	125	456
215	125	455
216	125	453
217	126	452
218	126	450
219	126	449
220	127	447
221	127	446
222	127	445
223	128	444
224	128	442
225	128	440
226	129	439
227	129	437
228	129	436
229	129	434
230	130	433
231	130	431
232	130	430
233	131	429
234	131	427
235	131	426
236	131	424
237	132	423
238	133	424
239	133	423
240	133	421
241	134	420
242	134	419
243	134	417
244	135	416
245	135	415
246	135	414
247	136	412
248	136	411
249	136	410
250	137	409
251	137	407
252	137	406
253	137	405
254	138	403
255	138	402
256	138	401
257	139	400
258	139	399
259	139	398
260	140	396
261	140	395
262	140	394
263	141	393
264	141	391
265	141	390
266	141	389
267	142	388
268	142	387
269	142	385
270	142	384
271	143	383
272	143	382
273	143	381
274	144	379
275	144	378
276	144	377
277	145	376
278	145	375
279	145	374
280	145	373
281	146	372
282	146	371
283	146	370
284	147	369
285	147	367
286	147	366
287	147	365
288	148	364
289	148	363
290	148	362
291	148	361
292	149	360
293	149	359
294	149	358
295	150	357
296	150	356
297	150	355
298	151	354
299	151	353
300	151	352
301	152	351
302	152	350
303	152	349
304	152	348
305	153	347
306	153	346
307	153	345
308	154	344
309	154	344
310	154	343
311	155	342
312	155	341
313	155	340
314	156	339
315	156	338
316	156	337
317	157	336
318	157	335
319	157	334
320	157	333
321	158	333
322	158	331
323	158	330
324	158	330
325	159	329
326	159	328
327	159	327
